Date,Close,High,Low,Open,Volume,SMA_20,SMA_200,Golden Cross,Trend,stock,Adj Close
2015-04-17,1268.759765625,1328.0448810707549,1255.959518178318,1328.0448810707549,282557.0,1268.759765625,1268.759765625,False,NEGATIVE,APOLLOHOSP.NS,
2015-04-20,1231.6583251953125,1271.502579723829,1219.0506330755427,1266.5460878742183,170718.0,1250.2090454101562,1250.2090454101562,False,NEGATIVE,APOLLOHOSP.NS,
2015-04-21,1177.47412109375,1242.4857174386195,1174.2982017558911,1238.5398141796154,259560.0,1225.9640706380208,1225.9640706380208,False,NEGATIVE,APOLLOHOSP.NS,
2015-04-22,1215.3931884765625,1233.6311346973716,1169.4375913179776,1177.0407397895094,471038.0,1223.3213500976562,1223.3213500976562,False,NEGATIVE,APOLLOHOSP.NS,
2015-04-23,1248.837646484375,1258.365639257196,1218.4251619882295,1218.4251619882295,518336.0,1228.424609375,1228.424609375,False,NEGATIVE,APOLLOHOSP.NS,
2015-04-24,1246.6722412109375,1259.4243217354096,1227.0869938643025,1255.9596290140505,370654.0,1231.4658813476562,1231.4658813476562,False,NEGATIVE,APOLLOHOSP.NS,
2015-04-27,1133.058349609375,1246.142823029403,1104.1857180978786,1241.523154994348,450290.0,1217.4076625279017,1217.4076625279017,False,NEGATIVE,APOLLOHOSP.NS,
2015-04-28,1123.6268310546875,1145.7143521751275,1104.8596163175855,1130.8449905689574,476845.0,1205.68505859375,1205.68505859375,False,NEGATIVE,APOLLOHOSP.NS,
2015-04-29,1121.220703125,1137.437476922514,1112.077701683208,1121.220703125,372241.0,1196.3001302083333,1196.3001302083333,False,NEGATIVE,APOLLOHOSP.NS,
2015-04-30,1094.4173583984375,1130.7487609333218,1087.5360228985287,1121.220766970607,548858.0,1186.1118530273438,1186.1118530273438,False,NEGATIVE,APOLLOHOSP.NS,
2015-05-04,1156.44482421875,1164.529182536265,1100.0469881313643,1100.0469881313643,224235.0,1183.4148504083807,1183.4148504083807,False,NEGATIVE,APOLLOHOSP.NS,
2015-05-05,1155.627197265625,1169.3416986697769,1138.5442218323835,1162.5085319930902,80767.0,1181.0992126464844,1181.0992126464844,False,NEGATIVE,APOLLOHOSP.NS,
2015-05-06,1129.9306640625,1181.4682491614903,1108.7092294738786,1156.8302897809046,175887.0,1177.1631704477163,1177.1631704477163,False,NEGATIVE,APOLLOHOSP.NS,
2015-05-07,1125.1182861328125,1145.08852133417,1103.3674781439472,1135.6567488000762,201421.0,1173.4456787109375,1173.4456787109375,False,NEGATIVE,APOLLOHOSP.NS,
2015-05-08,1141.3831787109375,1148.9863283790214,1127.765015061114,1134.6943995153213,80236.0,1171.3081787109375,1171.3081787109375,False,NEGATIVE,APOLLOHOSP.NS,
2015-05-11,1203.6038818359375,1238.5398170136868,1140.469077098248,1141.5277168799569,438636.0,1173.32666015625,1173.32666015625,False,NEGATIVE,APOLLOHOSP.NS,
2015-05-12,1192.3916015625,1202.0639808273884,1172.9025738509272,1201.2939969369222,129070.0,1174.4481272977941,1174.4481272977941,False,NEGATIVE,APOLLOHOSP.NS,
2015-05-13,1189.1673583984375,1222.08222693035,1169.0046855383796,1196.9629449644322,446265.0,1175.265862358941,1175.265862358941,False,NEGATIVE,APOLLOHOSP.NS,
2015-05-14,1200.668701171875,1207.7905245762463,1168.4275886593628,1189.64890715164,383250.0,1176.6028538754113,1176.6028538754113,False,NEGATIVE,APOLLOHOSP.NS,
2015-05-15,1201.775146484375,1214.5753937444706,1180.8906562000518,1201.1496667735544,184809.0,1177.8614685058594,1177.8614685058594,False,NEGATIVE,APOLLOHOSP.NS,
2015-05-18,1224.5364990234375,1228.0493596381343,1199.080507174628,1207.2610867646938,158100.0,1175.6503051757813,1180.0840890066963,False,NEGATIVE,APOLLOHOSP.NS,
2015-05-19,1226.9906005859375,1246.3352398860166,1204.951135395593,1230.359074207251,223496.0,1175.4169189453125,1182.2162031693892,False,NEGATIVE,APOLLOHOSP.NS,
2015-05-20,1257.45166015625,1267.557084317753,1225.5473689497471,1231.3218970420346,195341.0,1179.4157958984374,1185.487309994905,False,NEGATIVE,APOLLOHOSP.NS,
2015-05-21,1247.923095703125,1282.9070722641363,1240.8011574767725,1270.3956004416052,237550.0,1181.0422912597655,1188.0888010660808,False,NEGATIVE,APOLLOHOSP.NS,
2015-05-22,1259.95361328125,1268.5191846135413,1237.7697598147204,1251.099268624201,117761.0,1181.5980895996095,1190.9633935546874,False,NEGATIVE,APOLLOHOSP.NS,
2015-05-25,1229.01171875,1259.9054119110854,1223.0447550492074,1253.1684643533329,110271.0,1180.7150634765626,1192.4267906775842,False,NEGATIVE,APOLLOHOSP.NS,
2015-05-26,1193.450439453125,1236.133795582817,1183.7780595344386,1235.8450222336107,223883.0,1183.73466796875,1192.4647035951969,False,NEGATIVE,APOLLOHOSP.NS,
2015-05-27,1180.7462158203125,1191.9584443037088,1175.1160762978025,1183.7778655579828,149441.0,1186.5906372070312,1192.046186174665,False,NEGATIVE,APOLLOHOSP.NS,
2015-05-28,1176.3193359375,1203.988946007619,1146.5324461769778,1183.3450578354843,438239.0,1189.3455688476563,1191.5038809940734,False,NEGATIVE,APOLLOHOSP.NS,
2015-05-29,1166.983642578125,1191.9102527487632,1158.7548959500505,1174.153632108855,417282.0,1192.9738830566407,1190.6865397135416,True,POSITIVE,APOLLOHOSP.NS,
2015-06-01,1179.3028564453125,1186.6654025122566,1158.7551862325686,1167.1282041232498,181381.0,1194.1167846679687,1190.3193241242438,False,POSITIVE,APOLLOHOSP.NS,
2015-06-02,1161.6422119140625,1178.003369828345,1156.1564589007244,1178.003369828345,112464.0,1194.4175354003905,1189.4231643676758,False,POSITIVE,APOLLOHOSP.NS,
2015-06-03,1167.2242431640625,1175.116048420685,1106.784156989179,1162.652743385194,277102.0,1196.2822143554688,1188.750469785748,False,POSITIVE,APOLLOHOSP.NS,
2015-06-04,1168.2830810546875,1178.965932538631,1145.0887543682932,1166.2138520438257,152960.0,1198.4404541015624,1188.1484877642463,False,POSITIVE,APOLLOHOSP.NS,
