Date,Close,High,Low,Open,Volume,SMA_20,SMA_200,Golden Cross,Trend,stock,Adj Close
2015-04-17,172.45697021484375,174.6104155925096,171.84493560359397,173.2050063684356,2106426.0,172.45697021484375,172.45697021484375,False,NEGATIVE,COALINDIA.NS,
2015-04-20,168.6714324951172,173.522356956589,167.9913971314728,173.11433850547337,3400318.0,170.56420135498047,170.56420135498047,False,NEGATIVE,COALINDIA.NS,
2015-04-21,169.73681640625,171.68625932937837,168.67142495045772,168.67142495045772,1820148.0,170.2884063720703,170.2884063720703,False,NEGATIVE,COALINDIA.NS,
2015-04-22,171.91293334960938,172.68363173955288,169.30613130599403,169.66881127357286,2165103.0,170.69453811645508,170.69453811645508,False,NEGATIVE,COALINDIA.NS,
2015-04-23,174.20240783691406,174.9504440364815,172.68365928909162,173.1823547005886,2812629.0,171.39611206054687,171.39611206054687,False,NEGATIVE,COALINDIA.NS,
2015-04-24,170.57554626464844,174.47441866062582,169.62349393703045,174.0890625,2896474.0,171.2593510945638,171.2593510945638,False,NEGATIVE,COALINDIA.NS,
2015-04-27,171.2102813720703,172.27567317059177,168.05945828240235,171.05160364286778,2202533.0,171.2523411342076,171.2523411342076,False,NEGATIVE,COALINDIA.NS,
2015-04-28,168.83013916015625,171.36894105395294,168.10476521402046,170.9155840670377,3455021.0,170.94956588745117,170.94956588745117,False,NEGATIVE,COALINDIA.NS,
2015-04-29,168.1727752685547,170.0315277962015,167.58340290033763,168.19543758314282,2453973.0,170.64103359646268,170.64103359646268,False,NEGATIVE,COALINDIA.NS,
2015-04-30,164.45521545410156,167.92339297158992,162.84580399344793,166.92601609292942,4879254.0,170.02245178222657,170.02245178222657,False,NEGATIVE,COALINDIA.NS,
2015-05-04,167.6513671875,168.37674095607056,164.6138844199319,165.9286165930795,1970167.0,169.8068986372514,169.8068986372514,False,NEGATIVE,COALINDIA.NS,
2015-05-05,165.2032470703125,167.2433530644624,163.88851486337563,167.2433530644624,2200905.0,169.4232610066732,169.4232610066732,False,NEGATIVE,COALINDIA.NS,
2015-05-06,160.080322265625,165.02190965016624,159.64962768157207,164.1831966280052,3280440.0,168.70457341120795,168.70457341120795,False,NEGATIVE,COALINDIA.NS,
2015-05-07,163.57115173339844,164.16052396046368,159.8082952794008,160.3976536711125,2921296.0,168.33790043422155,168.33790043422155,False,NEGATIVE,COALINDIA.NS,
2015-05-08,164.88592529296875,165.90597841218062,162.4831251998339,164.25121450606332,2285680.0,168.107768758138,168.107768758138,False,NEGATIVE,COALINDIA.NS,
2015-05-11,168.62612915039062,169.96352389976929,165.47529270044498,165.47529270044498,3000387.0,168.1401662826538,168.1401662826538,False,NEGATIVE,COALINDIA.NS,
2015-05-12,167.37936401367188,170.73420212620167,166.3819733531626,169.53280917287495,4880073.0,168.0954132080078,168.0954132080078,False,NEGATIVE,COALINDIA.NS,
2015-05-13,167.2660369873047,168.9434492481644,165.47527166392302,167.83273312314006,2227226.0,168.0493367513021,168.0493367513021,False,NEGATIVE,COALINDIA.NS,
2015-05-14,167.83273315429688,168.42209160153308,164.84057478945977,167.26603701835631,2518413.0,168.03793656198602,168.03793656198602,False,NEGATIVE,COALINDIA.NS,
2015-05-15,166.336669921875,168.33143782755198,165.29395442253562,168.17277395595968,2370660.0,167.95287322998047,167.95287322998047,False,NEGATIVE,COALINDIA.NS,
2015-05-18,165.97396850585938,167.22070001577927,165.11259313880393,166.76734310308112,1902932.0,167.62872314453125,167.858639671689,False,NEGATIVE,COALINDIA.NS,
2015-05-19,164.86325073242188,166.10998233457673,164.47789456104826,165.92864232315267,3367308.0,167.43831405639648,167.72248562899503,False,NEGATIVE,COALINDIA.NS,
2015-05-20,163.82054138183594,165.5659684568271,162.936489769656,165.06727303035012,3619042.0,167.1425003051758,167.55283587911853,False,NEGATIVE,COALINDIA.NS,
2015-05-21,169.41946411132812,169.96348404210062,164.79521860531813,164.79521860531813,3494856.0,167.01782684326173,167.6306120554606,False,NEGATIVE,COALINDIA.NS,
2015-05-22,169.8954620361328,170.71149874792954,167.3793373119665,170.66617413588102,1724948.0,166.80247955322267,167.7212060546875,False,NEGATIVE,COALINDIA.NS,
2015-05-25,167.69671630859375,170.73421310471716,166.20064405698358,169.55548238523548,1558758.0,166.6585380554199,167.7202641413762,False,NEGATIVE,COALINDIA.NS,
2015-05-26,170.0088653564453,170.64356235337135,166.76736575738713,167.2887235107422,1825840.0,166.59846725463868,167.80502714934173,False,NEGATIVE,COALINDIA.NS,
2015-05-27,173.65835571289062,174.0890503037736,168.64876748178068,169.51014282819196,2478570.0,166.8398780822754,168.0140745980399,False,NEGATIVE,COALINDIA.NS,
2015-05-28,173.7943878173828,175.90249484680032,171.0969084576258,173.61304780626142,3353352.0,167.1209587097168,168.21339574353448,False,NEGATIVE,COALINDIA.NS,
2015-05-29,177.28518676757812,178.50925576985537,172.70629375135104,173.15965059140146,6003508.0,167.76245727539063,168.51578877766926,False,NEGATIVE,COALINDIA.NS,
2015-06-01,177.6251983642578,179.73331866716845,176.80916161402632,177.71587526332902,2859251.0,168.26114883422852,168.8096406998173,False,NEGATIVE,COALINDIA.NS,
2015-06-02,173.86233520507812,178.37324096161916,173.40897839880674,177.71586805838493,2191899.0,168.6941032409668,168.9675374031067,False,NEGATIVE,COALINDIA.NS,
2015-06-03,175.56246948242188,178.03327026170078,172.9103286999288,173.1823456224278,4210717.0,169.46821060180665,169.1673838297526,True,POSITIVE,COALINDIA.NS,
2015-06-04,176.1517791748047,177.217170422292,173.74899366800486,175.44908166867026,2843287.0,170.09724197387695,169.37280722225412,False,POSITIVE,COALINDIA.NS,
2015-06-05,183.76821899414065,185.7629865524653,177.73856402752767,177.73856402752767,9218970.0,171.04135665893554,169.7841047014509,False,POSITIVE,COALINDIA.NS,
2015-06-08,181.7734375,187.66707664591885,181.0707260698516,184.22156176277247,6610246.0,171.698722076416,170.1171417236328,False,POSITIVE,COALINDIA.NS,
2015-06-09,181.9321136474609,183.1561827793857,179.1439715529149,180.86673602878503,3662673.0,172.42635955810547,170.4364652891417,False,POSITIVE,COALINDIA.NS,
2015-06-10,183.5642242431641,184.4255996714978,181.909474161168,182.1134903205378,4448352.0,173.24126892089845,170.781932630037,False,POSITIVE,COALINDIA.NS,
2015-06-11,181.3881072998047,185.42298113943528,180.88941191842216,184.1989119156196,3080462.0,173.91903762817384,171.05388582669772,False,POSITIVE,COALINDIA.NS,
2015-06-12,179.5746612548828,181.7961071790271,178.4412690654874,181.3880887579155,3609449.0,174.58093719482423,171.26690521240235,False,POSITIVE,COALINDIA.NS,
2015-06-15,178.75860595703125,180.88938875216303,177.69322839481887,180.3680311255872,4389850.0,175.2201690673828,171.44962962080794,False,POSITIVE,COALINDIA.NS,
2015-06-16,180.14134216308594,180.66269975918493,178.35057712066686,179.07595082779935,5719136.0,175.98407363891602,171.65657515752883,False,POSITIVE,COALINDIA.NS,
