Date,Close,High,Low,Open,Volume,SMA_20,SMA_200,Golden Cross,Trend,stock,Adj Close
2015-04-17,613.7333374023438,618.305065516625,612.7821469961316,615.7846811495092,143460.0,613.7333374023438,613.7333374023438,False,NEGATIVE,NESTLEIND.NS,
2015-04-20,609.5558471679688,614.5352418508825,604.8920354880298,613.7462308366634,152580.0,611.6445922851562,611.6445922851562,False,NEGATIVE,NESTLEIND.NS,
2015-04-21,603.8270263671875,613.6411893444675,601.8238924531413,613.6411893444675,111330.0,609.0387369791666,609.0387369791666,False,NEGATIVE,NESTLEIND.NS,
2015-04-22,602.4420166015625,608.3988753342054,598.3436631210966,603.7526122037627,173740.0,607.3895568847656,607.3895568847656,False,NEGATIVE,NESTLEIND.NS,
2015-04-23,605.6548461914062,607.8728097959752,601.9115109174596,607.8728097959752,358270.0,607.0426147460937,607.0426147460937,False,NEGATIVE,NESTLEIND.NS,
2015-04-24,600.4868774414062,609.275367271308,594.3810039044234,609.275367271308,106390.0,605.9499918619791,605.9499918619791,False,NEGATIVE,NESTLEIND.NS,
2015-04-27,600.3421020507812,602.0866369212188,592.6976962150044,600.4210245429263,342390.0,605.1488647460938,605.1488647460938,False,NEGATIVE,NESTLEIND.NS,
2015-04-28,599.3560791015625,600.5001078519454,595.7267133030276,599.6322276624683,253260.0,604.4247665405273,604.4247665405273,False,NEGATIVE,NESTLEIND.NS,
2015-04-29,575.5634765625,603.1342886698085,572.0174218564144,603.1342886698085,416550.0,601.2179565429688,601.2179565429688,False,NEGATIVE,NESTLEIND.NS,
2015-04-30,576.1904296875,588.2312765272316,572.0964647122146,575.5417133731435,429190.0,598.7152038574219,598.7152038574219,False,NEGATIVE,NESTLEIND.NS,
2015-05-04,596.2528076171875,597.0023308663636,580.6439645503741,583.8524997900121,169410.0,598.4913496537642,598.4913496537642,False,NEGATIVE,NESTLEIND.NS,
2015-05-05,596.7743530273438,599.1939303488743,593.6710123579177,596.9146478468275,145820.0,598.3482666015625,598.3482666015625,False,NEGATIVE,NESTLEIND.NS,
2015-05-06,596.3665771484375,597.8787858124792,592.2901094788215,596.9495335349188,174330.0,598.1958289513221,598.1958289513221,False,NEGATIVE,NESTLEIND.NS,
2015-05-07,593.2808837890625,600.5089027245242,589.5507110689672,600.5089027245242,285090.0,597.8447614397321,597.8447614397321,False,NEGATIVE,NESTLEIND.NS,
