Date,Close,High,Low,Open,Volume,SMA_20,SMA_200,Golden Cross,Trend,stock,Adj Close
2015-04-17,86.22920989990234,86.6930978700431,84.89210811259179,84.89210811259179,3831186.0,86.22920989990234,86.22920989990234,False,NEGATIVE,NTPC.NS,
2015-04-20,84.2645034790039,87.32072221092952,83.93705075822159,86.9932694901472,2855564.0,85.24685668945312,85.24685668945312,False,NEGATIVE,NTPC.NS,
2015-04-21,82.5999526977539,85.3014377711195,82.40894026716809,84.53737805571178,3864529.0,84.36455535888672,84.36455535888672,False,NEGATIVE,NTPC.NS,
2015-04-22,83.33670043945312,83.7460162569357,82.02688982350888,82.90009856631536,3322204.0,84.10759162902832,84.10759162902832,False,NEGATIVE,NTPC.NS,
2015-04-23,81.59030151367188,84.04619183029543,81.26284880525117,84.04619183029543,2880820.0,83.60413360595703,83.60413360595703,False,NEGATIVE,NTPC.NS,
2015-04-24,81.75403594970703,82.40894143128938,80.71710060502423,82.10877475338671,4004778.0,83.29578399658203,83.29578399658203,False,NEGATIVE,NTPC.NS,
2015-04-27,80.90811157226562,83.69145981855675,80.60794989633413,82.32707675433747,4911789.0,82.9546879359654,82.9546879359654,False,NEGATIVE,NTPC.NS,
2015-04-28,82.5726547241211,83.03654270241813,80.17133167427731,80.77166493500401,3926425.0,82.90693378448486,82.90693378448486,False,NEGATIVE,NTPC.NS,
2015-04-29,82.73638916015625,83.36400354429878,82.08148371824612,82.6272349221499,4480990.0,82.88798438178168,82.88798438178168,False,NEGATIVE,NTPC.NS,
2015-04-30,82.02688598632812,82.9000946882863,81.53570702832616,82.57264204961832,6908986.0,82.80187454223633,82.80187454223633,False,NEGATIVE,NTPC.NS,
2015-05-04,83.14569091796875,83.5277156964112,81.50842759169782,82.40892242114684,2244895.0,82.83313057639383,82.83313057639383,False,NEGATIVE,NTPC.NS,
2015-05-05,82.13603973388672,83.00924848404182,80.98995543529048,82.68179582730004,2478207.0,82.77503967285156,82.77503967285156,False,NEGATIVE,NTPC.NS,
2015-05-06,78.91609191894531,81.8904519474754,78.09746026003509,81.64486244980233,5876370.0,82.4781975379357,82.4781975379357,False,NEGATIVE,NTPC.NS,
2015-05-07,77.77000427246094,79.21625514023104,77.4971287299977,79.02523776362895,3870685.0,82.14189801897321,82.14189801897321,False,NEGATIVE,NTPC.NS,
2015-05-08,77.49715423583984,78.9161145187998,77.25156466783527,78.1793458147861,2922648.0,81.83224843343099,81.83224843343099,False,NEGATIVE,NTPC.NS,
2015-05-11,79.10710144042969,79.40726803666278,77.3879750190174,77.71542767071497,2935518.0,81.66192674636841,81.66192674636841,False,NEGATIVE,NTPC.NS,
